Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

1/1000: r = 0.71, accuracy = 85.71%
2/1000: r = 0.65, accuracy = 85.71%
3/1000: r = 0.69, accuracy = 85.71%
4/1000: r = 0.71, accuracy = 87.62%
5/1000: r = 0.69, accuracy = 88.57%
6/1000: r = 0.73, accuracy = 87.62%
7/1000: r = 0.77, accuracy = 87.62%
8/1000: r = 0.74, accuracy = 87.62%
9/1000: r = 0.72, accuracy = 87.62%
10/1000: r = 0.67, accuracy = 87.62%
11/1000: r = 0.76, accuracy = 85.71%
12/1000: r = 0.63, accuracy = 85.71%
13/1000: r = 0.69, accuracy = 85.71%
14/1000: r = 0.76, accuracy = 86.67%
15/1000: r = 0.67, accuracy = 86.67%
16/1000: r = 0.75, accuracy = 86.67%
17/1000: r = 0.68, accuracy = 86.67%
18/1000: r = 0.70, accuracy = 86.67%
19/1000: r = 0.74, accuracy = 86.67%
20/1000: r = 0.76, accuracy = 86.67%
21/1000: r = 0.71, accuracy = 86.67%
22/1000: r = 0.73, accuracy = 86.67%
23/1000: r = 0.74, accuracy = 87.62%
24/1000: r = 0.76, accuracy = 87.62%
25/1000: r = 0.71, accuracy = 87.62%
26/1000: r = 0.69, accuracy = 85.71%
27/1000: r = 0.71, accuracy = 86.67%
28/1000: r = 0.71, accuracy = 87.62%
29/1000: r = 0.78, accuracy = 88.57%
30/1000: r = 0.77, accuracy = 88.57%
31/1000: r = 0.80, accuracy = 87.62%
32/1000: r = 0.74, accuracy = 88.57%
33/1000: r = 0.72, accuracy = 86.67%
34/1000: r = 0.75, accuracy = 86.67%
35/1000: r = 0.70, accuracy = 86.67%
36/1000: r = 0.69, accuracy = 84.76%
37/1000: r = 0.65, accuracy = 84.76%
38/1000: r = 0.67, accuracy = 85.71%
39/1000: r = 0.64, accuracy = 83.81%
40/1000: r = 0.76, accuracy = 85.71%
41/1000: r = 0.66, accuracy = 85.71%
42/1000: r = 0.76, accuracy = 85.71%
43/1000: r = 0.69, accuracy = 85.71%
44/1000: r = 0.67, accuracy = 83.81%
45/1000: r = 0.69, accuracy = 83.81%
46/1000: r = 0.71, accuracy = 86.67%
47/1000: r = 0.72, accuracy = 86.67%
48/1000: r = 0.66, accuracy = 86.67%
49/1000: r = 0.72, accuracy = 86.67%
50/1000: r = 0.73, accuracy = 86.67%
51/1000: r = 0.72, accuracy = 86.67%
52/1000: r = 0.66, accuracy = 86.67%
