Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded or ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

1/1000: r = 0.71, accuracy = 0.86%
2/1000: r = 0.65, accuracy = 0.86%
3/1000: r = 0.69, accuracy = 0.86%
4/1000: r = 0.71, accuracy = 0.88%
5/1000: r = 0.69, accuracy = 0.89%
6/1000: r = 0.73, accuracy = 0.88%
7/1000: r = 0.77, accuracy = 0.88%
8/1000: r = 0.74, accuracy = 0.88%
9/1000: r = 0.72, accuracy = 0.88%
10/1000: r = 0.67, accuracy = 0.88%
11/1000: r = 0.76, accuracy = 0.86%
12/1000: r = 0.63, accuracy = 0.86%
13/1000: r = 0.69, accuracy = 0.86%
14/1000: r = 0.76, accuracy = 0.87%
15/1000: r = 0.67, accuracy = 0.87%
16/1000: r = 0.75, accuracy = 0.87%
17/1000: r = 0.68, accuracy = 0.87%
18/1000: r = 0.70, accuracy = 0.87%
19/1000: r = 0.74, accuracy = 0.87%
20/1000: r = 0.76, accuracy = 0.87%
21/1000: r = 0.71, accuracy = 0.87%
22/1000: r = 0.73, accuracy = 0.87%
23/1000: r = 0.74, accuracy = 0.88%
24/1000: r = 0.76, accuracy = 0.88%
25/1000: r = 0.71, accuracy = 0.88%
26/1000: r = 0.69, accuracy = 0.86%
27/1000: r = 0.71, accuracy = 0.87%
28/1000: r = 0.71, accuracy = 0.88%
29/1000: r = 0.78, accuracy = 0.89%
30/1000: r = 0.77, accuracy = 0.89%
31/1000: r = 0.80, accuracy = 0.88%
32/1000: r = 0.74, accuracy = 0.89%
33/1000: r = 0.72, accuracy = 0.87%
34/1000: r = 0.75, accuracy = 0.87%
35/1000: r = 0.70, accuracy = 0.87%
36/1000: r = 0.69, accuracy = 0.85%
37/1000: r = 0.65, accuracy = 0.85%
38/1000: r = 0.67, accuracy = 0.86%
39/1000: r = 0.64, accuracy = 0.84%
40/1000: r = 0.76, accuracy = 0.86%
41/1000: r = 0.66, accuracy = 0.86%
42/1000: r = 0.76, accuracy = 0.86%
43/1000: r = 0.69, accuracy = 0.86%
44/1000: r = 0.67, accuracy = 0.84%
45/1000: r = 0.69, accuracy = 0.84%
46/1000: r = 0.71, accuracy = 0.87%
47/1000: r = 0.72, accuracy = 0.87%
48/1000: r = 0.66, accuracy = 0.87%
49/1000: r = 0.72, accuracy = 0.87%
50/1000: r = 0.73, accuracy = 0.87%
51/1000: r = 0.72, accuracy = 0.87%
52/1000: r = 0.66, accuracy = 0.87%
53/1000: r = 0.69, accuracy = 0.86%
54/1000: r = 0.66, accuracy = 0.83%
55/1000: r = 0.63, accuracy = 0.83%
56/1000: r = 0.68, accuracy = 0.83%
57/1000: r = 0.73, accuracy = 0.84%
58/1000: r = 0.68, accuracy = 0.81%
59/1000: r = 0.67, accuracy = 0.83%
60/1000: r = 0.65, accuracy = 0.86%
61/1000: r = 0.76, accuracy = 0.86%
62/1000: r = 0.62, accuracy = 0.85%
63/1000: r = 0.68, accuracy = 0.85%
64/1000: r = 0.74, accuracy = 0.85%
65/1000: r = 0.65, accuracy = 0.85%
66/1000: r = 0.74, accuracy = 0.85%
67/1000: r = 0.66, accuracy = 0.85%
68/1000: r = 0.68, accuracy = 0.85%
69/1000: r = 0.71, accuracy = 0.83%
70/1000: r = 0.75, accuracy = 0.85%
71/1000: r = 0.69, accuracy = 0.85%
72/1000: r = 0.71, accuracy = 0.85%
73/1000: r = 0.71, accuracy = 0.85%
74/1000: r = 0.71, accuracy = 0.83%
75/1000: r = 0.66, accuracy = 0.83%
76/1000: r = 0.66, accuracy = 0.83%
77/1000: r = 0.67, accuracy = 0.83%
78/1000: r = 0.67, accuracy = 0.83%
79/1000: r = 0.72, accuracy = 0.83%
80/1000: r = 0.71, accuracy = 0.83%
81/1000: r = 0.75, accuracy = 0.83%
82/1000: r = 0.69, accuracy = 0.84%
83/1000: r = 0.70, accuracy = 0.84%
84/1000: r = 0.70, accuracy = 0.82%
85/1000: r = 0.68, accuracy = 0.84%
86/1000: r = 0.69, accuracy = 0.85%
87/1000: r = 0.65, accuracy = 0.85%
88/1000: r = 0.66, accuracy = 0.85%
89/1000: r = 0.65, accuracy = 0.85%
90/1000: r = 0.75, accuracy = 0.84%
91/1000: r = 0.63, accuracy = 0.83%
92/1000: r = 0.75, accuracy = 0.85%
93/1000: r = 0.68, accuracy = 0.85%
94/1000: r = 0.67, accuracy = 0.84%
95/1000: r = 0.69, accuracy = 0.84%
96/1000: r = 0.68, accuracy = 0.84%
97/1000: r = 0.69, accuracy = 0.84%
98/1000: r = 0.66, accuracy = 0.87%
99/1000: r = 0.72, accuracy = 0.87%
100/1000: r = 0.74, accuracy = 0.88%
101/1000: r = 0.73, accuracy = 0.88%
102/1000: r = 0.67, accuracy = 0.88%
103/1000: r = 0.71, accuracy = 0.88%
104/1000: r = 0.71, accuracy = 0.89%
105/1000: r = 0.69, accuracy = 0.89%
106/1000: r = 0.72, accuracy = 0.87%
107/1000: r = 0.76, accuracy = 0.87%
108/1000: r = 0.73, accuracy = 0.87%
109/1000: r = 0.73, accuracy = 0.89%
110/1000: r = 0.63, accuracy = 0.84%
111/1000: r = 0.74, accuracy = 0.84%
112/1000: r = 0.65, accuracy = 0.88%
113/1000: r = 0.71, accuracy = 0.88%
114/1000: r = 0.77, accuracy = 0.88%
115/1000: r = 0.68, accuracy = 0.88%
116/1000: r = 0.74, accuracy = 0.86%
117/1000: r = 0.67, accuracy = 0.86%
118/1000: r = 0.70, accuracy = 0.87%
119/1000: r = 0.74, accuracy = 0.87%
120/1000: r = 0.77, accuracy = 0.88%
121/1000: r = 0.72, accuracy = 0.88%
122/1000: r = 0.72, accuracy = 0.86%
123/1000: r = 0.72, accuracy = 0.86%
124/1000: r = 0.75, accuracy = 0.87%
125/1000: r = 0.71, accuracy = 0.88%
126/1000: r = 0.70, accuracy = 0.88%
127/1000: r = 0.72, accuracy = 0.88%
128/1000: r = 0.71, accuracy = 0.88%
129/1000: r = 0.77, accuracy = 0.88%
130/1000: r = 0.76, accuracy = 0.88%
131/1000: r = 0.80, accuracy = 0.88%
132/1000: r = 0.72, accuracy = 0.87%
133/1000: r = 0.72, accuracy = 0.87%
134/1000: r = 0.76, accuracy = 0.88%
135/1000: r = 0.71, accuracy = 0.88%
136/1000: r = 0.73, accuracy = 0.89%
137/1000: r = 0.69, accuracy = 0.89%
138/1000: r = 0.70, accuracy = 0.89%
139/1000: r = 0.69, accuracy = 0.89%
140/1000: r = 0.79, accuracy = 0.89%
141/1000: r = 0.69, accuracy = 0.89%
142/1000: r = 0.79, accuracy = 0.89%
143/1000: r = 0.72, accuracy = 0.89%
144/1000: r = 0.72, accuracy = 0.89%
145/1000: r = 0.72, accuracy = 0.87%
146/1000: r = 0.71, accuracy = 0.87%
147/1000: r = 0.72, accuracy = 0.87%
148/1000: r = 0.66, accuracy = 0.87%
149/1000: r = 0.72, accuracy = 0.87%
150/1000: r = 0.73, accuracy = 0.87%
151/1000: r = 0.74, accuracy = 0.90%
152/1000: r = 0.65, accuracy = 0.86%
153/1000: r = 0.70, accuracy = 0.87%
154/1000: r = 0.69, accuracy = 0.86%
155/1000: r = 0.66, accuracy = 0.86%
156/1000: r = 0.71, accuracy = 0.86%
157/1000: r = 0.75, accuracy = 0.86%
158/1000: r = 0.72, accuracy = 0.85%
159/1000: r = 0.70, accuracy = 0.86%
160/1000: r = 0.66, accuracy = 0.87%
161/1000: r = 0.75, accuracy = 0.85%
162/1000: r = 0.62, accuracy = 0.85%
163/1000: r = 0.70, accuracy = 0.87%
